workerid,proliferate.condition,Browser,OS,screenH,screenW,error
591,condition1,Safari,iPhone/iPod,736,414,
858,condition1,Chrome,Windows,768,1366,
664,condition1,Firefox,Windows,1080,1920,
624,condition1,Chrome,Windows,1200,1920,
680,condition1,Chrome,Linux,892,412,
876,condition1,Chrome,Windows,720,1280,
871,condition1,Safari,Mac,1024,768,
872,condition1,Chrome,Windows,1024,1280,
604,condition1,Chrome,Windows,1080,1920,
832,condition1,Chrome,Windows,1080,1920,
959,condition1,Chrome,Windows,1080,1920,
782,condition1,Firefox,Windows,900,1440,
593,condition1,Chrome,Mac,900,1440,
970,condition1,Chrome,Linux,640,360,
789,condition1,Chrome,Windows,768,1366,
763,condition1,Chrome,Windows,960,1440,
906,condition1,Chrome,Windows,1080,1920,
863,condition1,Chrome,Windows,615,1093,
893,condition1,Chrome,Windows,1440,2560,
770,condition1,Chrome,Linux,768,1366,
748,condition1,Safari,an unknown OS,1024,768,
834,condition1,Chrome,Windows,559,994,
963,condition1,Chrome,Linux,864,1536,
745,condition1,Chrome,Windows,768,1366,
602,condition1,Firefox,Windows,1920,1080,
852,condition1,Firefox,Mac,1200,1920,
989,condition1,Chrome,Linux,768,1366,
612,condition1,Chrome,Windows,1080,1920,
737,condition1,Chrome,Mac,900,1440,
936,condition1,Chrome,Windows,864,1536,
662,condition1,Chrome,Windows,720,1280,
980,condition1,Chrome,Linux,915,412,
779,condition1,Safari,an unknown OS,1024,768,
979,condition1,Chrome,Mac,1050,1680,
626,condition1,Chrome,Linux,731,1300,
589,condition1,Chrome,Windows,900,1600,
693,condition1,Chrome,Linux,869,412,
840,condition1,Chrome,Linux,740,360,
668,condition1,Safari,iPhone/iPod,844,390,
761,condition1,Chrome,Windows,900,1600,
944,condition1,Safari,iPhone/iPod,667,375,
954,condition1,Chrome,Linux,732,412,
734,condition1,Chrome,Windows,864,1536,
731,condition1,Safari,iPhone/iPod,812,375,
912,condition1,Chrome,Windows,720,1280,
613,condition1,Firefox,Windows,768,1366,
854,condition1,Firefox,Linux,757,360,
949,condition1,Chrome,Mac,800,1280,
895,condition1,Firefox,Windows,768,1366,
