workerid,proliferate.condition,answerer gender,character_type,crit_trial_number,fill_trial_number,image1,image2,item,maximum,minimum,minute,name1,name2,questioner gender,stakes,time,trial_number,trial_time_minutes,trial_type,error
678,condition1,female,hippie,1,NA,hippie_girl1,hippie_girl2,airport_crit,8,-7,none,Dakota,Jamie,female,low,3:00,2,0.2891666666666667,crit,
678,condition1,male,fill,NA,2,filler_guy4,filler_guy3,restaurant_fill,8,-9,15,Jessie,Ash,male,low,none,3,0.18911666666666663,fill,
678,condition1,female,nerd,2,NA,nerd_guy1,nerd_girl2,premiere_crit,9,-10,none,Skyler,Morgan,male,low,9:30,4,0.13563333333333333,crit,
678,condition1,male,hippie,3,NA,hippie_guy2,hippie_guy1,shopping_crit,2,-6,none,Shawn,Devin,male,high,1:30,5,0.14435,crit,
678,condition1,female,fill,NA,3,filler_guy1,filler_girl2,coffee_fill,-3,-12,20,Kendall,Casey,male,high,none,6,0.13421666666666668,fill,
678,condition1,female,nerd,4,NA,nerd_guy2,nerd_girl1,bank_crit,-1,-7,none,Riley,Jordan,male,high,8:00,7,0.2069,crit,
678,condition1,male,fill,NA,4,filler_girl4,filler_guy2,phone_fill,0,-3,5,Quinn,Taylor,female,low,none,8,0.10041666666666668,fill,
711,condition1,male,hippie,1,NA,hippie_girl2,hippie_guy1,airport_crit,10,-10,none,Sam,Dakota,female,low,1:30,1,0.42328333333333334,crit,
711,condition1,female,fill,NA,1,filler_guy1,filler_girl2,restaurant_fill,15,-15,10,Shawn,Casey,male,low,none,2,0.22275,fill,
711,condition1,female,fill,NA,2,filler_guy3,filler_girl4,coffee_fill,20,-19,20,Jessie,Kendall,male,high,none,3,0.2855333333333333,fill,
711,condition1,female,nerd,2,NA,nerd_guy2,nerd_girl1,bank_crit,10,-10,none,Ash,Riley,male,high,8:00,4,0.22286666666666663,crit,
711,condition1,male,hippie,3,NA,hippie_girl1,hippie_guy2,shopping_crit,5,-5,none,Alex,Taylor,female,high,9:30,5,2.699,crit,
711,condition1,female,fill,NA,3,filler_girl1,filler_girl3,store_fill,8,-10,5,Jamie,Skyler,female,high,none,6,0.14335,fill,
711,condition1,male,fill,NA,4,filler_guy2,filler_guy4,phone_fill,15,-15,15,Devin,Quinn,male,low,none,7,0.15385,fill,
711,condition1,female,nerd,4,NA,nerd_guy1,nerd_girl2,premiere_crit,9,-10,none,Morgan,Jordan,male,low,3:00,8,0.24568333333333336,crit,
965,condition1,male,nerd,1,NA,nerd_girl1,nerd_guy1,airport_crit,0,0,none,Casey,Ash,female,low,9:30,1,0.69715,crit,
965,condition1,male,fill,NA,1,filler_guy2,filler_guy1,phone_fill,0,-10,20,Sam,Skyler,male,low,none,2,0.3416,fill,
965,condition1,male,fill,NA,2,filler_girl2,filler_guy3,store_fill,0,-11,5,Morgan,Jessie,female,high,none,3,0.26705,fill,
965,condition1,female,nerd,2,NA,nerd_guy2,nerd_girl2,bank_crit,0,0,none,Riley,Devin,male,high,3:00,4,0.21695,crit,
965,condition1,male,hippie,3,NA,hippie_girl2,hippie_guy2,shopping_crit,0,0,none,Jamie,Taylor,female,high,1:30,5,0.14251666666666668,crit,
965,condition1,female,fill,NA,3,filler_girl4,filler_girl3,coffee_fill,0,-15,10,Dakota,Kendall,female,high,none,6,0.23796666666666663,fill,
965,condition1,female,hippie,4,NA,hippie_guy1,hippie_girl1,premiere_crit,0,0,none,Shawn,Quinn,male,low,8:00,7,0.13135,crit,
965,condition1,male,fill,NA,4,filler_girl1,filler_guy4,restaurant_fill,0,-16,15,Alex,Jordan,female,low,none,8,0.29878333333333335,fill,
586,condition1,male,fill,NA,1,filler_girl1,filler_guy4,restaurant_fill,5,-10,20,Kendall,Devin,female,low,none,1,0.52215,fill,
586,condition1,female,hippie,1,NA,hippie_girl2,hippie_girl1,bank_crit,2,-3,none,Ash,Sam,female,high,1:30,2,0.373,crit,
586,condition1,male,fill,NA,2,filler_guy2,filler_guy3,phone_fill,10,-5,5,Shawn,Jessie,male,low,none,3,0.22716666666666663,fill,
586,condition1,male,fill,NA,3,filler_girl2,filler_guy1,coffee_fill,10,-15,10,Dakota,Casey,female,high,none,4,0.3413833333333333,fill,
586,condition1,female,fill,NA,4,filler_girl3,filler_girl4,store_fill,15,-20,15,Jordan,Quinn,female,high,none,5,0.30651666666666666,fill,
586,condition1,male,hippie,2,NA,hippie_guy2,hippie_guy1,shopping_crit,2,-4,none,Morgan,Jamie,male,high,9:30,6,0.35195,crit,
586,condition1,female,nerd,3,NA,nerd_guy2,nerd_girl2,premiere_crit,3,-5,none,Taylor,Riley,male,low,8:00,7,0.24936666666666665,crit,
586,condition1,female,nerd,4,NA,nerd_guy1,nerd_girl1,airport_crit,3,-4,none,Alex,Skyler,male,low,3:00,8,0.23005,crit,
948,condition1,male,nerd,1,NA,nerd_girl1,nerd_guy1,bank_crit,5,-5,none,Alex,Riley,female,high,8:00,1,0.27926666666666666,crit,
948,condition1,male,hippie,2,NA,hippie_guy2,hippie_guy1,premiere_crit,10,-10,none,Jessie,Morgan,male,low,1:30,2,0.15695,crit,
948,condition1,male,fill,NA,1,filler_guy3,filler_guy2,restaurant_fill,16,-15,20,Ash,Skyler,male,low,none,3,0.2707833333333333,fill,
948,condition1,male,nerd,3,NA,nerd_girl2,nerd_guy2,airport_crit,10,-10,none,Devin,Jordan,female,low,9:30,4,0.1766,crit,
948,condition1,female,fill,NA,2,filler_guy4,filler_girl1,coffee_fill,14,-10,5,Quinn,Jamie,male,high,none,5,0.18425,fill,
948,condition1,male,fill,NA,3,filler_girl2,filler_guy1,phone_fill,15,-10,10,Taylor,Dakota,female,low,none,6,0.1414,fill,
948,condition1,female,hippie,4,NA,hippie_girl1,hippie_girl2,shopping_crit,10,-10,none,Sam,Shawn,female,high,3:00,7,0.15331666666666666,crit,
948,condition1,female,fill,NA,4,filler_girl4,filler_girl3,store_fill,16,-15,15,Kendall,Casey,female,high,none,8,0.26155,fill,
679,condition1,male,fill,NA,1,filler_guy2,filler_guy4,store_fill,1,-2,20,Alex,Sam,male,high,none,1,0.8944666666666666,fill,
679,condition1,female,hippie,1,NA,hippie_guy2,hippie_girl2,premiere_crit,6,-5,none,Jessie,Kendall,male,low,1:30,2,0.8158666666666666,crit,
679,condition1,female,fill,NA,2,filler_girl2,filler_girl1,phone_fill,7,-10,5,Skyler,Taylor,female,low,none,3,0.23821666666666663,fill,
679,condition1,male,fill,NA,3,filler_guy3,filler_guy1,restaurant_fill,4,-11,10,Ash,Morgan,male,low,none,4,0.21061666666666667,fill,
679,condition1,male,hippie,2,NA,hippie_girl1,hippie_guy1,airport_crit,6,-7,none,Jamie,Shawn,female,low,8:00,5,0.4331333333333333,crit,
679,condition1,female,nerd,3,NA,nerd_guy1,nerd_girl2,shopping_crit,6,-11,none,Devin,Riley,male,high,9:30,6,0.3975166666666667,crit,
679,condition1,female,nerd,4,NA,nerd_guy2,nerd_girl1,bank_crit,1,-2,none,Jordan,Casey,male,high,3:00,7,0.33458333333333334,crit,
679,condition1,female,fill,NA,4,filler_girl4,filler_girl3,coffee_fill,6,-11,15,Dakota,Quinn,female,high,none,8,0.32998333333333335,fill,
812,condition1,female,fill,NA,1,filler_guy3,filler_girl1,phone_fill,15,-16,15,Shawn,Jamie,male,low,none,1,0.51835,fill,
812,condition1,male,hippie,1,NA,hippie_guy1,hippie_guy2,airport_crit,10,-10,none,Riley,Ash,male,low,1:30,2,0.35828333333333334,crit,
812,condition1,male,fill,NA,2,filler_girl4,filler_guy1,coffee_fill,11,-11,10,Dakota,Skyler,female,high,none,3,0.40021666666666667,fill,
812,condition1,male,nerd,2,NA,nerd_guy2,nerd_guy1,premiere_crit,11,-11,none,Taylor,Alex,male,low,3:00,4,0.5397333333333333,crit,
