workerid,proliferate.condition,answerer gender,character_type,crit_trial_number,fill_trial_number,image1,image2,item,maximum,minimum,minute,name1,name2,questioner gender,stakes,time,trial_number,trial_time_minutes,trial_type,error
438,condition1,female,fill,NA,1,filler_girl2,filler_girl3,coffee_fill,0,0,20,Riley,Shawn,female,high,none,2,0.2118,fill,
438,condition1,male,hippie,2,NA,hippie_guy2,hippie_guy1,premiere_crit,0,-10,none,Alex,Kendall,male,low,9:30,3,0.2554166666666667,crit,
438,condition1,female,fill,NA,2,filler_guy3,filler_girl1,phone_fill,10,-11,5,Morgan,Taylor,male,low,none,4,0.1814,fill,
438,condition1,female,nerd,3,NA,nerd_girl2,nerd_girl1,shopping_crit,0,-10,none,Casey,Jessie,female,high,8:00,5,0.24085,crit,
438,condition1,male,fill,NA,3,filler_guy4,filler_guy2,store_fill,10,-15,10,Ash,Jordan,male,high,none,6,0.17923333333333333,fill,
438,condition1,female,fill,NA,4,filler_guy1,filler_girl4,restaurant_fill,10,-16,15,Quinn,Dakota,male,low,none,7,0.13826666666666668,fill,
438,condition1,male,nerd,4,NA,nerd_guy2,nerd_guy1,airport_crit,0,-10,none,Sam,Devin,male,low,1:30,8,0.20686666666666667,crit,
342,condition1,female,hippie,1,NA,hippie_guy2,hippie_girl2,shopping_crit,3,-3,none,Skyler,Alex,male,high,1:30,1,1.5449,crit,
342,condition1,female,fill,NA,1,filler_guy1,filler_girl4,restaurant_fill,3,-6,20,Shawn,Sam,male,low,none,2,0.43033333333333335,fill,
342,condition1,male,fill,NA,2,filler_girl3,filler_guy4,phone_fill,1,-7,10,Kendall,Ash,female,low,none,3,0.3795,fill,
342,condition1,female,nerd,2,NA,nerd_girl1,nerd_girl2,airport_crit,6,-3,none,Jordan,Quinn,female,low,8:00,4,0.29055,crit,
342,condition1,male,hippie,3,NA,hippie_girl1,hippie_guy1,premiere_crit,4,-4,none,Taylor,Jessie,female,low,3:00,5,0.264,crit,
342,condition1,male,fill,NA,3,filler_girl2,filler_guy2,coffee_fill,6,-6,5,Riley,Jamie,female,high,none,6,0.2487333333333333,fill,
342,condition1,female,fill,NA,4,filler_guy3,filler_girl1,store_fill,5,-8,15,Casey,Dakota,male,high,none,7,0.36351666666666665,fill,
342,condition1,male,nerd,4,NA,nerd_guy2,nerd_guy1,bank_crit,5,-4,none,Morgan,Devin,male,high,9:30,8,0.1887,crit,
464,condition1,male,nerd,1,NA,nerd_guy2,nerd_guy1,shopping_crit,2,-5,none,Skyler,Sam,male,high,1:30,1,0.30391666666666667,crit,
464,condition1,male,hippie,2,NA,hippie_guy2,hippie_guy1,premiere_crit,5,-5,none,Taylor,Alex,male,low,9:30,2,0.25335,crit,
464,condition1,male,fill,NA,1,filler_guy2,filler_guy1,restaurant_fill,15,-20,15,Dakota,Ash,male,low,none,3,0.2526333333333333,fill,
464,condition1,female,fill,NA,2,filler_girl4,filler_girl1,phone_fill,11,-20,20,Shawn,Quinn,female,low,none,4,0.1934,fill,
464,condition1,female,nerd,3,NA,nerd_girl2,nerd_girl1,airport_crit,6,-5,none,Jordan,Riley,female,low,3:00,5,0.23348333333333332,crit,
464,condition1,female,fill,NA,3,filler_guy3,filler_girl3,coffee_fill,5,-5,5,Kendall,Jamie,male,high,none,6,0.21625,fill,
464,condition1,female,hippie,4,NA,hippie_girl2,hippie_girl1,bank_crit,5,-5,none,Casey,Jessie,female,high,8:00,7,0.26475,crit,
464,condition1,male,fill,NA,4,filler_girl2,filler_guy4,store_fill,10,-15,10,Devin,Morgan,female,high,none,8,0.15225,fill,
502,condition1,female,fill,NA,1,filler_girl4,filler_girl2,coffee_fill,0,0,15,Morgan,Taylor,female,high,none,1,0.27495,fill,
502,condition1,female,fill,NA,2,filler_guy3,filler_girl3,phone_fill,0,0,10,Skyler,Sam,male,low,none,2,0.11883333333333332,fill,
502,condition1,male,nerd,1,NA,nerd_guy2,nerd_guy1,premiere_crit,5,-9,none,Ash,Shawn,male,low,8:00,3,0.22116666666666668,crit,
502,condition1,female,fill,NA,3,filler_guy1,filler_girl1,store_fill,6,-8,5,Dakota,Riley,male,high,none,4,0.16891666666666666,fill,
502,condition1,female,nerd,2,NA,nerd_girl1,nerd_girl2,bank_crit,5,-5,none,Kendall,Jamie,female,high,1:30,5,0.15196666666666667,crit,
502,condition1,male,hippie,3,NA,hippie_guy1,hippie_guy2,airport_crit,2,-6,none,Quinn,Devin,male,low,3:00,6,0.15803333333333333,crit,
502,condition1,male,fill,NA,4,filler_guy2,filler_guy4,restaurant_fill,0,-20,20,Alex,Jessie,male,low,none,7,0.17606666666666668,fill,
502,condition1,female,hippie,4,NA,hippie_girl2,hippie_girl1,shopping_crit,0,-5,none,Jordan,Casey,female,high,9:30,8,0.1431333333333333,crit,
308,condition1,female,hippie,1,NA,hippie_girl1,hippie_girl2,bank_crit,-5,-15,none,Jordan,Quinn,female,high,3:00,1,1.0932,crit,
308,condition1,female,fill,NA,1,filler_guy3,filler_girl2,store_fill,0,-20,15,Jamie,Morgan,male,high,none,2,0.7983166666666667,fill,
308,condition1,male,fill,NA,2,filler_guy2,filler_guy1,coffee_fill,20,-15,20,Taylor,Jessie,male,high,none,3,0.69165,fill,
308,condition1,male,nerd,2,NA,nerd_girl1,nerd_guy1,shopping_crit,10,0,none,Skyler,Devin,female,high,1:30,4,0.7229833333333333,crit,
308,condition1,male,nerd,3,NA,nerd_girl2,nerd_guy2,premiere_crit,20,-5,none,Casey,Ash,female,low,8:00,5,1.1354666666666666,crit,
308,condition1,male,hippie,4,NA,hippie_guy1,hippie_guy2,airport_crit,15,-15,none,Riley,Dakota,male,low,9:30,6,0.5351666666666667,crit,
308,condition1,female,fill,NA,3,filler_girl1,filler_girl3,phone_fill,16,0,5,Kendall,Sam,female,low,none,7,0.36766666666666664,fill,
308,condition1,female,fill,NA,4,filler_guy4,filler_girl4,restaurant_fill,20,-20,10,Shawn,Alex,male,low,none,8,0.3948333333333333,fill,
318,condition1,female,fill,NA,1,filler_guy1,filler_girl1,store_fill,0,0,15,Casey,Devin,male,high,none,1,0.29983333333333334,fill,
318,condition1,female,nerd,1,NA,nerd_guy2,nerd_girl1,airport_crit,0,0,none,Jordan,Quinn,male,low,3:00,2,0.29496666666666665,crit,
318,condition1,female,hippie,2,NA,hippie_guy2,hippie_girl1,bank_crit,0,0,none,Sam,Kendall,male,high,1:30,3,0.11218333333333332,crit,
318,condition1,male,fill,NA,2,filler_girl2,filler_guy3,coffee_fill,0,0,10,Riley,Dakota,female,high,none,4,0.11745,fill,
318,condition1,female,nerd,3,NA,nerd_guy1,nerd_girl2,premiere_crit,0,0,none,Taylor,Skyler,male,low,9:30,5,0.09778333333333332,crit,
318,condition1,female,hippie,4,NA,hippie_guy1,hippie_girl2,shopping_crit,0,0,none,Jamie,Alex,male,high,8:00,6,0.12633333333333333,crit,
318,condition1,male,fill,NA,3,filler_girl3,filler_guy2,restaurant_fill,0,0,20,Ash,Jessie,female,low,none,7,0.08646666666666666,fill,
318,condition1,female,fill,NA,4,filler_guy4,filler_girl4,phone_fill,0,0,5,Morgan,Shawn,male,low,none,8,0.13881666666666667,fill,
